,0,1,2,3,4,5,6,7,8,9
50,It's nesting season for birds,Renee and Manuel watch them build nests,Some birds are unsuccessful in their endeavours,,,,,,,
225,Some make a lot of mess,The network can be tailored to one's needs,Michaela proposed turning the club into an official association,Jessie is not sure,but might help with the paperwork,Steve is oppose to the idea,Jessie,Steve and Ron will discuss it in person on Monday,They'll meet in the car park after Steve finishes work,
51,David met Alysa at the club last night and wants to see her again,Alysa will see him tomorrow at the club 6 pm,,,,,,,,
52,Luisa will do the shopping with her husband on Park Avenue,because he needs to buy flip flops,,,,,,,,
53,Harry is going to survival camp with Mike at the weekend,,,,,,,,,
54,Skye and Holly are interested in going to a cabin in the countryside for the weekend,,,,,,,,,
250,Holly will enquire with her friends who own it if it is available,Tesla and SpaceX and is s creating the first passenger shuttle to the moon,The tickets cost around $ 35 million,but the event is going to be streamed in HD via satelites,The date is yet unknown,Tiffany wants to buy a VR headset,,,,
56,Andy,Maddison and Cindy agreed on the date - Friday,Andy will buy the tickets,so Andy offered to pay,,,,,,
288,he will pay and the girls will give him back the money,Jen is about to break up with her boyfriend,Jane knew from the beginning that they were not a good match,,,,,,,
57,Emmanuel baked a pear crumble cake,He added mustard sauce,His boyfriend tries everything Emmanuel cooks,,,,,,,
77,He put too much sugar,Josh and Sally went to a great party at Tina's place,,,,,,,,
141,because she has some disorders and needs to be medicated,She doesn't have money for the therapy now,She had worked for 14 hours yesterday,she is not sure if she is going to call him,She has found some are in a bad condition,According to Peter,In the past she had,so she will be fine soon,Home methods don't work for her,She takes medications that seem to help
59,Eric is making sure how many people are keen on paddle boarding and kayaking next weekend in Manzanillo,Eric is going to pick Val and some other people at the corner house,The friends will meet tomorrow at 8 pm to discuss that,,,,,,,
191,Tomorrow,Allan managed to get half a bucket of paint for Frank,He will get more in the afternoon,Frank won't lend him the car but he'll pay for the taxi,,,,,,
60,Elian did some house chores today,,,,,,,,,
61,Tina is going to buy the tickets,They are 30 both ways plus 10 for checked luggage for each flight,She also organised flights and hotel for next week's trip,,,,,,,
336,Tina and Laura are going to leave on 14 Jan and be back on 20 Jan,Tina and Steve are having pasta for dinner,They'll do the shopping together,,,,,,,
62,Viv is working a lot,Daniel is going to Morocco for 6 days in January,,,,,,,,
63,The team Boston has won for the third time this decade,Zack is a huge fan of theirs,Boston have a serious young rival - Toronto,there's still no match for Boston,who have a record of 108 wins,On Saturday there will be a victory parade,Hew went there last year already,He will be in Boston next weekend,,
107,but in Zack's opinion,Donna is proud of Oliver for getting good grades,Rachel is happy for Jay as he got into his course,Rachel and Donna have a disagreement on their sons' education,he has written 30 pages,,,,,
65,Tristan left his wallet at Laura's place,Laura's place is messy after the party last night,Tristan got the wallet from his grandfather,Tristan will pick up the wallet later and help Laura clean up,,,,,,
66,Jackie has been shaking all day,,,,,,,,,
198,She should go to sleep early,They will go to grocery store together and Mark will make Thai food later,Angie gave birth to Maya at 5:20 AM,,,,,,,
67,Jane came back to her old boyfriend from Southampton and Taunton,He has a girlfriend who studies law,Jane wants to meet up with Chris' wife Soph,,,,,,,
314,Her son works as a lifeguard but wants to get into teaching,William misses her too,Sophie accepts some quince from Noah,Noah has left the quince in a basket on his terrace and the twins can pick it up any time,The twins are in college,Noah's son is in the military,Tam,,,
69,Alex will pick chairs that match new table for Sarah,She will buy finder's fee and he will get a commission from the shop Nei Interiors,As the table is bonde wood,chrome or black would work well with it,,,,,,
71,Ethan and Abigail are going to buy presents for their family,She will only buy the most important things,,,,,,,,
72,Patricia and Chloe went out last night,Patricia liked a man and got his number,Chloe thinks he is handsome,Mary tried to comfort Patricia too with no effect,,,,,,
73,Mary and Meg moved tonight's meeting at 7 at Grand Cinema,30 was too late and Meg needs to go to school early tomorrow,They'll meet tomorrow at Grand Cinema,,,,,,,
278,as the earliest option at 8,Finn and Zadie are going to Elephant and Castle tomorrow at 2,,,,,,,,
232,"Aaron has watched ""My Giant Life"" series",The band has a concert soon,Victor is going on a concert with his friends and asks Aaron to come,Everyone buys their own tickets,Aaron should call Roman,,,,,
74,It was about a tall girl,who's never had a boyfriend and wants to stay a virgin till marriage,and she wants to join them,but she never fulfilled them,,,,,,
104,Ryan,Ryan claims that May's decision to postpone voting on the Brexit deal will buy the PM an extra time for campaigning,Ryan and Sam agree that there'll be the hard Brexit,Ryan supposes that the Tories will topple May soon,,,,,,
152,Danny,The match was sold out,Danny and Woof are looking for a hotel,Danny's favorite is Starfish in Varadero,The resort is three hours away,,,,,
76,Chloe and July prepare a shopping list for their trip,,,,,,,,,
317,They are going to buy food,They set up for a meeting tomorrow,Cindy has made arrangements for today's meeting at 2 pm in the conference room,Don is appreciative,,,,,,
213,drink and some cleaning stuff,They are packing,unlike her Master's thesis,Ella and Matty are both busy with the workload at university,Ella is studying biology and enjoys it very much,Matty is into geography and politics,They talk about everything,,,
105,going for a run,Stella has to go shoppping tonight,,,,,,,,
203,he is staying in bed,Daca was supposed to have an operation but he was returned,"Doctors recommend Daca and Jaca go to the Institut for ""Mother and children""",Ostoja is waiting for them in front of main entrance,,,,,,
200,They might see each other in the evening,After work Ben will go to the gym and do the groceries requested by Jill,,,,,,,,
78,Gabrielle is disappointed because Marty didn't take a good care of her car,Gabrielle found her place dirty,and its food bowl empty,,,,,,,
144,Snowhite,Pat found dad's old Atari computer,Pat,Drew and Jack talk about River Raid,Final Fantasy VII games,Jack quotes Finnish metal band lyrics,,,,
261,the cat sick,The Lethal Weapon,Mat named his dog after one of his favorite novels,Mark recommends the novel and Anna is keen to read it,Fluffy and Butters,,,,,
283,They argue about their relationship and break up,Fatima is worried about Jenson and Alene,Alene has issues,Lincoln doesn't want Fatima to worry about others too much,,,,,,
79,Ava is going to Europe with her parents,Joe would like to visite Southern Europe,Olivia has not been and would like to go to London and Paris,who lives in Michigan,,,,,,
80,Oliver is leaving tomorrow morning,unfortunately Erik is not able to meet him at the station to say goodbye,,,,,,,,
117,They plan to meet up in holidays,He has always liked showing off,Louise is fed up with looking after her kids so Mari will take them somewhere on Friday,Harry is home from Brussels on Friday,Louise and Mari will have a lunch at about 12/ 12,30ish and then will take the children swimming on Thursday,Following Mari's advice,only 3 days off and the town is far away,with her husband and 3 children around,
81,Anna and Nina are going on a trip together,Anna's father is too busy to drive them to the airport but maybe Manny will do it,Nina should take comfortable clothes,,,,,,,
82,Joanna changed her fb picture and some of her facebook friends started to hate her,Joanna and Matt hate this government,Joanna will hide her events list,,,,,,,
185,She has about 2000 friends,Tom will throw a surprise birthday party for Kate but he doesn't know all her friends,so Sharan will invite them,Tom sent Sharan a card with all the details,John will assist with making the guest list,,,,,
83,Mark changed a network,Alice is going to check if they have family plans,,,,,,,,
167,He's satisfied with the reception,Her mum will give her the money back,Adam and Marlene don't want a big reception,Mom wants to invite 200 guests and pay for everything,Adam and Marlene prefer to travel,They will come to Mom tonight to talk,,,,
84,Abdul and Erma are having a fight,According to Abdul,Erma's parents hate him,telling her parents about her relationship problems with Abdul,should not accept them,,,,,
197,and she behaved unfair,Eve has to come back to the office on her day off,who dislikes Eve and has already done such things out of spite,On Anton's advice,Eve might fill in a complaint against her,,,,,
354,when he was sitting right next to her during family dinner today,Toby proposed to Susan during their romantic weekend in a cosy hotel near the beach,,,,,,,,
85,Liam is looking for a present for his mother's birthday,,,,,,,,,
86,Donna and Klara will meet tomorrow for a coffee at 2 pm,Klara wants to ask Donna about something personal,,,,,,,,
87,Alyssa moved out to a beautiful place,but she doesn't understand the language people speak there,Ellie will visit her some day,She's working,but she's unsure of her language abilities,,,,,
330,She started a new job and attends language classes,They checked out one flat,John and Annie are moving to London because he lost his job in Germany and found a better offer working in IT here,Annie isn't happy with the move,Amber,Erin offers her place but Amber plans on staying with John and Annie,,,,
88,Claire and Max went out last night,Claire was sick at 4am and she's hangover today,Max is on the plane to Lanzarote,Claire cooked dinner for Annie but it was terrible,,,,,,
89,Paddy and Leslie are going to a staff function tomorrow in the Brasilia,Leslie's husband will drop her off and Kirk,Paddy's partner,will drop Paddy off,They think students wear too much make up,Leslie hopes Amy keeps her as a teacher instead of Robyn,,,,
90,Lucy is in Marrows looking for a blouse to go with a skirt she got from her mother,She was at Gap in High Street but didn't find anything,She tries on several blouses and finally,decides to get a cream silky one for 43$,,,,,,
91,Bruno wants to go to Prado tomorrow,Anton can go at 5,but Alba has to work longer,Anton suggests Alba can join them for drinks after to which Alba agrees,The exhibition in Prado is about life and death in Spanish baroque painting,,,,,
339,30,Frank wants his stuff,Dick is going to buy an apartment in Frank's neighbourhood,Dick and Frank are going to see the apartment in 30 minutes,,,,,,
92,Noah is looking for a gift for his friend,His friend is interested in board games,Jaipur or Hanamikoji,which turned out to be decent,,,,,,
231,so as Tom,Tom and Alex had fun last night,They drank a lot and Tom has a hangover now,,,,,,,
248,Tom suggests Onitama or Patchwork,Internet connection is bad where Tom is,Tom will send more materials from Ireland in a week,Tom wants to sell a moisture meter for grain-like materials in the UK that is already available in Poland,Tom might need Vicki Ellen's help,Grain is Vicki Ellen's father's old business,Tom visited India,,,
93,Steve is going to Spain this summer but his friends are still discussing where they could go,but Masher forgets to go,,,,,,,,
94,Peggy can give the book to Jane when she travels to Belgium at the beginning of December,Jane will let Peggy know if she wants the book,Peggy will write to Jane at the end of November to schedule their meeting,,,,,,,
95,Jasper and Ivan are going to play an online game together,,,,,,,,,
96,June's cat has to wear that for 10 days,Rob will take June and her cat to the vet on Thursday at 6 pm,,,,,,,,
97,Megan forgot about grandma's invitation for dinner tonight,She would rather skip it,She doesn't use any spices,Megan and Harry will go,,,,,,
257,because she doesn't like grandma's food,Steven wants to discuss with his children a gift for Mum's birthday,Margaret suggests a food processor,Lesley mentions a spa break,They will buy a spa break,,,,,
341,Eventually,which paralysed the city,Simon has enough of waiting and goes by himself,The Year Without a Santa Claus,Simon and Charlie admire Poland for its anti-immigration policy and the way it defends its values and interests,,,,,
99,Chris will be up there from 12/27 to 01/03 and for a week post Mardi Gras,He has already booked the houses,Chris and Ian are going to the Tropical Fruits Party for New Year's Eve,They'll have drinks at Chris before the party,Ian is in a meeting,,,,,
128,They want to go there by minibus,Moira is in Havana and is taking photos of art deco style buildings,especially in the suburbs,Barbie suggests she collates the pictures in a portfolio and sends it to the Architectural Review,Afterwards,,,,,
100,Holly and Ute watched the latest episode of You Can Dance,Jordan was kicked off,Holly and Ute will meet on Friday to drink wine and watch TV shows,He is still single but reportedly not gay,,,,,,
101,Lucy wrote a private message to Nate,Jessica forbids her from writing to him,Lucy and Nate were friends before Jessica started dating him,Lucy is comforting Ricky,She doesn't know if she wants to continue this relationship,Jessica posts a lot regarding subjects she does nothing about in reality,,,,
183,Lucy will be in touch with Nate anyway,Gary thanks Lucy for a surprise party which Sue organised,He wants to throw a similar party for Marjory's 70th birthday,Lucy will help him and look for a place to throw a party,but it didn't help,They'll meet for a tea at 6 pm,others will think if they can join,,,
102,Mike supports Manchester United,Oliver supports Liverpool,Mike wants to bet with Oliver that his team will win the trophy,,,,,,,
279,Max,Ray is locked in the room from the outside and he has to pee,Max's roommate will come and let him out,,,,,,,
103,Daniel and Henry have watched the season finale of a series,Henry was disappointed by the finale,Daniel and Max rather liked it,Max liked the whole season,Henry thinks the finale was hurt by the uncertainty of the series' renewal at the time,,,,,
281,The series got renewed and will air next year,Danna has a boring weekend and is watching TV,Reed is in bed,,,,,,,
293,She is going to watch some TV,Betty and Phil are meeting at 6,They will have dinner at Phil's afterwards,They will meet at 6 PM at her house to prepare for the evening,,,,,,
106,Maria and Peter had sex last night,Maria reckons he's sensitive and caring,Gabi and Geri are happy for Maria,,,,,,,
108,Lisa is planning Susan's birthday party next Saturday at 8 pm,Tom will take care of booze,Tom and Tony will chip in for a ticket and Lisa will buy it as a gift,They'll meet tonight at Lisa's,,,,,,
109,Kelly has recently changed a job and feels lonely in the new one,30,,,,,,,,
118,missing her previous colleagues,Wendy brought back her dog that Rose thought was lost,,,,,,,,
110,Alie cannot find her earphones and she believes Nat has lost them,Nat frequently uses Alie's earphones,,,,,,,,
111,Mia has Ada's stuff packed in her car,Peter will be in Ada's place in 30 minutes,he has the key and he will let Mia in,Ada will send Mia his phone number,,,,,,
112,Hannah is in Lisbon,Terry is at the gym,Hannah is in Cascais,She and Mike ate breakfast in a bakery,Terry will get the address of a restaurant he ate at for Hannah,He plans to play basketball with Mike one day,It's quite poor,has a birthday tomorrow,,
173,Alice,Poppy and Alice are meeting for drinks after work at Nick's at 5:30,Alice fancies Fred,,,,,,,
113,Maria and Barbara will meet on the weekend to watch Alice's wedding photos,They will also invite Kate and Lilly,,,,,,,,
114,According to Adam,Karen's presentation at the conference was impressive,Adam will visit Karen's office in March,,,,,,,
115,Mark and Emily will go on a romantic date on Friday at 7 p,Later they might go to the Dragon's Den,Emily is going to dress up,Afterwards,,,,,,
116,Yesterday Dianne ate lunch with Andy,Dianne forgot her purse,,,,,,,,
333,because he's earning a lot of money,Samuel's language is Telugu,which is spoken in south east India,It has nearly 90 million speakers; it's written left to right; it's based on Brahmin script,Teluguland has 23 provinces,"""Anna"" means ""elder brother"" and Thammu or Thammadu - ""younger brother""",Tim's 55,Samuel's 35,,
119,There's a bomb threat at the university,Roman wanted to visit his parents but he might miss his train,Landon thinks the person responsible should be expelled,,,,,,,
120,Brian managed to get tickets for Lucas and Michael to the soccer match next week,but Brian's dad's friend is the team manager and he arranged the tickets,Lucas and Michael will give something to Brian and his dad to thank them,Michaela,,,,,,
121,Janice will look for a new job soon,It's yet another job,,,,,,,,
122,Enoch woke up and hopes the fever's gone,Mattie went shopping to the grocery store and is in a club,,,,,,,,
188,but waits for the spots to go,Oliver found out that they misunderstood the rules of the game,Emily and Chris think they should play the game again,Emily,which involves additional responsibilities,,,,,
123,Pete's video file is too big to send to Thomas by phone,Pete will upload it to Google Drive and share it with Thomas so he can download,but thinks it's good so far,,,,,,,
124,Adrian will grab the orange tiles on Sophie request,Sophie wants him to make sure they aren't too dark,Adrian will see Sophie in a bit,how they like them,,,,,,
125,Dan's wife gave birth to a baby girl yesterday by cesarean section,Dan's wife will have to rest for a week after the procedure,Mary will visit Dan's wife soon,She is expecting a baby,,,,,,
327,Bringing them up was not always easy,Farrah shared his collection of fossils with the class,and Enrique was very impressed,Enrique would like Farrah to show the collection for the 4th grade students as well,,,,,,
126,Bob has a problem with his eye,he has fever and a runny nose,Bob has to work on Saturday,so he moved his lunch with Diana to Sunday,,,,,,
138,Jamie's teething,Nathalie hates the woman who lives in the next room,She annoys Nathalie,listens to her conversations,she used Nathalie's dish sponge without permission yesterday and she has smelly feet,Jamie,Jamie,,,
129,Alice and Patricia will join John and Ann at the prudential shopping mall to enjoy the festive atmosphere,,,,,,,,,
130,"Amanda's name means ""worthy of love",""" Jeff's name means ""peaceful pledge",""" Steven's name means ""crown","Camile's name means ""born free",""" It's a French name",,,,,
215,""" ""noble"" and ""the perfect one",Matthew and Anthony are going to Greece this summer,Their itinerary includes 5 days on Rhodes,Lisa plans to join them,She will stay in Thessaloniki when they go to a male-only holy retreat in Athos for 3 days,,,,,
131,Gina will check out a hotel or spa voucher as a gift for her parents 30 anniversary,,,,,,,,,
226,Bruce is in Manchester till Wednesday,Debra is considering finding a new job,Debra and her mother are still unemployed,Debra's mother is depressed after her father's death,Debra is grateful to Bruce for his concern,,,,,
132,Ari will meet the client on Friday morning,They all need to meet to discuss the case,Ian and Ari will meet tomorrow after lunch,They will meet for lunch later on,so they will meet on Tuesday at 7pm,,,,,
133,Fred would like Great Britain to stay in the European Union but according to him the EU should evolve,Stephanie is sceptic if it's possible to find a solution on which 30 countries would agree,so it's not a good sign,Brazil and Chile,,,,,,
134,Last time Brenda and Jill met,Jill was dating John,Brenda's ex,Jill has since broken up with John,Jill and Brenda are going shopping on Saturday at 10 am at the mall,,,,,
135,Luke is grounded and he does not want to fight with his parents anymore,Bruno is making fun of Luke,Luke decides to go out with his friends,,,,,,,
136,Jeremy wants to go out with Ben,Susan and Kylie are going to the cinema Friday at 8 pm and Ben will join them,she will invite him and a bunch of other coworkers,,,,,,,
137,Arlo googled what an 'eight-track tape' is,,,,,,,,,
139,Ella and Jose are going to watch Kler at the cinema at 7:30pm,The cinema has a discount for Mondays,,,,,,,,
140,It's very cold,Kimberly doesn't want to go to Karen's party tonight,When Parker tells her that Ricardo will be at the party,Kimberly changes her mind and decides to go because she likes him,Kimberly and Parker will see each other at Karen's,,,,,
249,she plans to stay in and watch tv in her pyjamas,She will confirm how many guests are coming,Amy and Jessica are planning a surprise birthday party for Julie,whose birthday is on Wednesday,,,,,,
142,Brian needs Melissa's toy,Mellisa looks upset in the picture Brian sends,Rasha will deliver the toy by car within 15 minutes provided traffic isn't bad,,,,,,,
143,Chris attended a Halloween party at Luke's,He has just woken up in the neighbour's house,Chris probably trespassed on their property,Chris would like to date her,,,,,,
266,it's still working,He's single,Chris and Peter are going to a party,Chris is bringing sparklers,He'd like Tracy to come,but Peter's not sure if she will,,,,
145,Lynn is afraid to talk to her manager about her work stress,She might look for a new job,,,,,,,,
146,Frank saw the comedian Patton Oswalt last night,He got two tickets from his friend and asked Jenny from bingo to go with him,,,,,,,,
147,Debra's boss yelled at her again for something she didn't do,,,,,,,,,
